team,games,wins,losses,win_pct,total_points,ppg,points_allowed,off_rating,def_rating,net_rating,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pt_pct,ft_made,ft_attempted,ft_pct,efg_pct,ts_pct,ft_rate,total_rebounds,rpg,total_assists,apg,ast_to_ratio,total_steals,spg,total_blocks,bpg,total_turnovers,tpg,total_fouls,fpg
Maryland,12,12,0,100.0,1055,87.91666666666667,663,87.91666666666667,55.25,32.66666666666667,380,776,48.96907216494845,85,239,35.56485355648535,210,271,77.49077490774908,54.44587628865979,58.922746972878784,0.3492268041237113,522,43.5,219,18.25,1.1173469387755102,146,12.166666666666666,48,4.0,196,16.333333333333332,178,14.833333333333334
Towson,1,0,1,0.0,70,70.0,88,70.0,88.0,-18.0,28,66,42.42424242424242,6,22,27.27272727272727,8,9,88.88888888888889,46.96969696969697,50.02858776443683,0.13636363636363635,24,24.0,10,10.0,0.5555555555555556,10,10.0,6,6.0,18,18.0,15,15.0
Georgetown,2,0,1,0.0,132,66.0,85,66.0,42.5,23.5,38,100,38.0,16,44,36.36363636363637,40,56,71.42857142857143,46.0,52.95250320924262,0.56,54,27.0,16,8.0,0.4444444444444444,12,6.0,4,2.0,36,18.0,48,24.0
Umbc,2,0,1,0.0,108,54.0,87,54.0,43.5,10.5,38,100,38.0,10,26,38.46153846153847,22,22,100.0,43.0,49.23413566739605,0.22,38,19.0,14,7.0,0.3333333333333333,18,9.0,8,4.0,42,21.0,42,21.0
Loyola Maryland,2,0,1,0.0,52,26.0,80,26.0,40.0,-14.0,18,90,20.0,8,38,21.052631578947366,8,12,66.66666666666666,24.444444444444443,27.287993282955497,0.13333333333333333,50,25.0,12,6.0,0.20689655172413793,10,5.0,2,1.0,58,29.0,32,16.0
Princeton,2,0,1,0.0,136,68.0,84,68.0,42.0,26.0,50,120,41.66666666666667,18,44,40.909090909090914,18,28,64.28571428571429,49.166666666666664,51.39056831922613,0.23333333333333334,56,28.0,26,13.0,0.8666666666666667,22,11.0,6,3.0,30,15.0,34,17.0
Bethune-Cookman,2,0,1,0.0,98,49.0,95,49.0,47.5,1.5,36,108,33.33333333333333,12,38,31.57894736842105,14,20,70.0,38.88888888888889,41.95205479452055,0.18518518518518517,48,24.0,16,8.0,0.3076923076923077,10,5.0,2,1.0,52,26.0,36,18.0
George Mason,2,0,1,0.0,124,62.0,84,62.0,42.0,20.0,50,116,43.103448275862064,12,36,33.33333333333333,12,16,75.0,48.275862068965516,50.39011703511053,0.13793103448275862,56,28.0,18,9.0,0.42857142857142855,20,10.0,6,3.0,42,21.0,42,21.0
Kentucky,2,0,1,0.0,132,66.0,74,66.0,37.0,29.0,50,116,43.103448275862064,20,56,35.714285714285715,12,16,75.0,51.724137931034484,53.6410923276983,0.13793103448275862,76,38.0,32,16.0,0.8,10,5.0,12,6.0,40,20.0,34,17.0
Hofstra,2,0,1,0.0,76,38.0,95,38.0,47.5,-9.5,28,86,32.55813953488372,8,34,23.52941176470588,12,16,75.0,37.2093023255814,40.84264832330181,0.18604651162790697,34,17.0,14,7.0,0.2916666666666667,12,6.0,0,0.0,48,24.0,40,20.0
Mount St. Mary's,2,0,1,0.0,88,44.0,92,44.0,46.0,-2.0,36,122,29.508196721311474,10,48,20.833333333333336,6,10,60.0,33.60655737704918,34.81012658227848,0.08196721311475409,60,30.0,8,4.0,0.18181818181818182,22,11.0,6,3.0,44,22.0,44,22.0
Minnesota,2,0,1,0.0,198,99.0,100,99.0,50.0,49.0,56,154,36.36363636363637,24,60,40.0,62,80,77.5,44.15584415584416,52.32558139534884,0.5194805194805194,106,53.0,42,21.0,1.105263157894737,20,10.0,10,5.0,38,19.0,36,18.0
Delaware St.,1,0,1,0.0,21,21.0,91,21.0,91.0,-70.0,7,38,18.421052631578945,1,5,20.0,6,12,50.0,19.736842105263158,24.260628465804064,0.3157894736842105,21,21.0,2,2.0,0.06666666666666667,4,4.0,4,4.0,30,30.0,27,27.0
